industry_code,industry,national_fatals_total,states_fatals_sum,pct_coverage,all_states_count,fatal_states_count
333922,Conveyor And Conveying Equipment Manufacturing,4,0,0,40,
33411X,Computer And Peripheral Equipment Manufacturing,7,0,0,44,
3341XX,Computer And Peripheral Equipment Manufacturing,7,0,0,44,
334413,Semiconductor And Related Device Manufacturing,5,0,0,42,
334511,"Search, Detection, Navigation.",3,0,0,35,
33637X,Motor Vehicle Metal Stamping,7,0,0,29,
336399,All Other Motor Vehicle Parts Manufacturing,18,0,0,30,
33699X,Other Transportation Equipment Manufacturing,8,0,0,40,
3369XX,Other Transportation Equipment Manufacturing,8,0,0,40,
337121,Upholstered Household Furniture Manufacturing,3,0,0,43,
337122,Nonupholstered Wood Household Furniture Manufacturing,3,0,0,52,
33712X,Household And Institutional Furniture Manufacturing,19,0,0,52,
339911,Jewelry (Except Costume) Manufacturing,1,0,0,45,
42322X,Home Furnishing Merchant Wholesalers,4,0,0,50,
42343X,Computer And Computer Peripheral Equipment And Software Merchant Wholesalers,3,0,0,52,
42344X,Other Commercial Equipment Merchant Wholesalers,3,0,0,52,
42372X,Plumbing And Heating Equipment And Supplies (Hydronics) Merchant Wholesalers,7,0,0,52,
42391X,Sporting And Recreational Goods And Supplies Merchant Wholesalers,4,0,0,51,
42399X,Other Miscellaneous Durable Goods Merchant Wholesalers,7,0,0,52,
4243XX,"Apparel, Piece Goods, And Notions Merchant Wholesalers",6,0,0,52,
42445X,Confectionery Merchant Wholesalers,9,0,0,50,
42449X,Other Grocery And Related Products Merchant Wholesalers,54,0,0,52,
42459X,Other Farm Product Raw Material Merchant Wholesalers,3,0,0,45,
42469X,Other Chemical And Allied Products Merchant Wholesalers,35,0,0,51,
42482X,Wine And Distilled Alcoholic Beverage Merchant Wholesalers,13,0,0,49,
42499X,Other Miscellaneous Nondurable Goods Merchant Wholesalers,3,0,0,52,
441221,Motorcycle Dealers,25,0,0,51,
441222,Boat Dealers,8,0,0,50,
441229,All Other Motor Vehicle Dealers,3,0,0,50,
443111,Household Appliance Stores,3,0,0,52,
443112,"Radio, Television, And Other Electronics Stores",26,0,0,52,
44313X,Camera And Photographic Supplies Stores,2,0,0,50,
44412X,Paint And Wallpaper Stores,3,0,0,51,
44421X,Outdoor Power Equipment Stores,7,0,0,51,
