state_code,state_name,abbrv,emplvl_total,fatals_total,expect_fatals_sum,residual,fatals_per_100k_adj
25,Massachusetts,MA,31831707,664,991.647324129353567982063142,-327.647324129353567982063142,-1.0293111963155276843
04,Arizona,AZ,24524952,854,1066.060199381570875406574335,-212.060199381570875406574335,-0.8646712106982752725
32,Nevada,NV,11744768,473,491.70666744542780597451755,-18.70666744542780597451755,-0.1592766025299759516
08,Colorado,CO,22153123,1054,899.425263712601971734338656,154.574736287398028265661344,0.6977559610326635584
01,Alabama,AL,18671206,1026,721.348397045436521244116421,304.651602954563478755883579,1.6316653726307956688
46,South Dakota,SD,3855423,294,146.197528898850485597783229,147.802471101149514402216771,3.8336252883574516831
09,Connecticut,CT,16398478,396,520.270839152806763840703786,-124.270839152806763840703786,-0.7578193485566572937
41,Oregon,OR,16418239,625,832.769408243092744842198753,-207.769408243092744842198753,-1.2654792529399331125
24,Maryland,MD,24910688,795,902.628653507018075471646427,-107.628653507018075471646427,-0.4320581330672925432
45,South Carolina,SC,18113486,950,691.283567229144947308896311,258.716432770855052691103689,1.4283083486572107252
44,Rhode Island,RI,4651568,83,143.857750988006461164573374,-60.857750988006461164573374,-1.3083276647359871158
05,Arkansas,AR,11461561,808,482.442222516581040666246268,325.557777483418959333753732,2.8404313992083535509
16,Idaho,ID,6180606,337,336.46367918257596127625628,0.53632081742403872374372,0.0086774794805564167
40,Oklahoma,OK,14928819,942,644.305703914818200446414721,297.694296085181799553585279,1.9940914019064857009
10,Delaware,DE,4109864,105,130.151079037771182209722187,-25.151079037771182209722187,-0.6119686451369481377
27,Minnesota,MN,26229726,715,948.369076016342067453465704,-233.369076016342067453465704,-0.8897122143645041029
15,Hawaii,HI,5999925,211,250.960921243155274445848494,-39.960921243155274445848494,-0.6660236793485797647
02,Alaska,AK,3104106,333,158.713321611160628890618794,174.286678388839371109381206,5.6147141363355301368
23,Maine,ME,5908631,200,206.948568449880642192332347,-6.948568449880642192332347,-0.1176003113052861516
26,Michigan,MI,40741731,1307,1420.301418533586693783422625,-113.301418533586693783422625,-0.2780967223351081813
31,Nebraska,NE,9012088,504,375.0467738118141440953256,128.9532261881858559046744,1.4308917776677930343
53,Washington,WA,28225681,834,1443.786630575469925222492882,-609.786630575469925222492882,-2.1603965217897485812
33,New Hampshire,NH,6148854,121,199.342889982498224601009387,-78.342889982498224601009387,-1.2741055484891692761
06,California,CA,150204850,4354,7181.069133560064880441344033,-2827.069133560064880441344033,-1.8821423766010650658
39,Ohio,OH,51609073,1716,1763.608910630344764244084357,-47.608910630344764244084357,-0.0922491102104173897
48,Texas,TX,100204374,4818,4345.006252512472562276289221,472.993747487527437723710779,0.4720290428514901333
20,Kansas,KS,13177197,813,508.719504672876152819700823,304.280495327123847180299177,2.3091443144329089652
13,Georgia,GA,38873899,1637,1507.623053798233411788507556,129.376946201766588211492444,0.3328118597050596551
18,Indiana,IN,28198468,1343,1071.641024193578343523892175,271.358975806421656476107825,0.9623181507818852303
17,Illinois,IL,56936871,1874,2039.168135905178444485021349,-165.168135905178444485021349,-0.2900899417271778853
50,Vermont,VT,2983543,105,106.768225469073239028061286,-1.768225469073239028061286,-0.0592659622828710372
12,Florida,FL,74851319,3103,3159.675879462040257846858766,-56.675879462040257846858766,-0.0757179435435737049
11,District of Columbia,DC,6809911,118,210.227949070961321243904396,-92.227949070961321243904396,-1.3543194480950091895
56,Wyoming,WY,2674363,362,171.845781689983246067303505,190.154218310016753932696495,7.1102620814757291337
54,West Virginia,WV,6978178,576,306.432826152001051919282307,269.567173847998948080717693,3.8630022600168546586
55,Wisconsin,WI,27105812,982,1011.481370173976195187406369,-29.481370173976195187406369,-0.1087640177463644889
34,New Jersey,NJ,38499708,1002,1352.790391782662837054083976,-350.790391782662837054083976,-0.9111507853063790433
28,Mississippi,MS,11020883,832,459.748030317225171034580871,372.251969682774828965419129,3.3776964121910633564
47,Tennessee,TN,26504493,1333,1002.254280876837807792003824,330.745719123162192207996176,1.247885477843934582
30,Montana,MT,4204700,438,187.20716226929193679838788,250.79283773070806320161212,5.9645833883679706805
22,Louisiana,LA,18529416,1197,847.219375231293475920926204,349.780624768706524079073796,1.8877045275938892196
21,Kentucky,KY,17491599,1129,697.251829156783017775826484,431.748170843216982224173516,2.4683173381874177554
42,Pennsylvania,PA,55492656,2132,2008.373345028124574948079231,123.626654971875425051920769,0.2227802089196729474
51,Virginia,VA,35740511,1481,1312.063225226586125229156726,168.936774773413874770843274,0.4726758796856986034
35,New Mexico,NM,7878784,460,370.628618964416598939244131,89.371381035583401060755869,1.1343296254292972248
19,Iowa,IA,14530963,848,572.086625707043450521213857,275.913374292956549478786143,1.8987962070576915617
49,Utah,UT,11540968,527,476.949435996022106883374487,50.050564003977893116625513,0.433677348416336421
38,North Dakota,ND,3490687,320,154.365795825319513437147851,165.634204174680486562852149,4.7450316850144537898
72,Puerto Rico,PR,9915298,245,408.108926852849830103925035,-163.108926852849830103925035,-1.6450229418505609222
37,North Carolina,NC,38783249,1588,1469.935039442199958817511619,118.064960557800041182488381,0.3044225628384049031
36,New York,NY,84129445,2162,2757.034995481385267263299185,-595.034995481385267263299185,-0.7072850599232947124
29,Missouri,MO,26415846,1443,968.150649603100688220392912,474.849350396899311779607088,1.7975928175720713688
